
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 50 IR: 1180.33 PING: 56.67 cm
Angle: 52 IR: 1201.00 PING: 53.67 cm
Angle: 54 IR: 1217.67 PING: 31.33 cm
Angle: 56 IR: 1231.67 PING: 28.33 cm
Angle: 58 IR: 1225.00 PING: 28.67 cm
Angle: 60 IR: 1252.33 PING: 30.00 cm
Angle: 62 IR: 1264.33 PING: 30.67 cm
Angle: 64 IR: 1268.33 PING: 29.67 cm
Angle: 66 IR: 1271.67 PING: 29.00 cm
Angle: 68 IR: 1278.33 PING: 28.67 cm
Angle: 70 IR: 1260.33 PING: 29.00 cm
Angle: 72 IR: 1237.00 PING: 30.00 cm
Angle: 74 IR: 1239.00 PING: 28.00 cm
Angle: 76 IR: 1240.67 PING: 31.00 cm
Angle: 78 IR: 1239.67 PING: 30.67 cm
Angle: 80 IR: 1239.00 PING: 31.67 cm
Angle: 82 IR: 1257.00 PING: 28.67 cm
Angle: 84 IR: 1265.00 PING: 30.00 cm
Angle: 86 IR: 1237.00 PING: 30.33 cm
Angle: 88 IR: 1239.33 PING: 30.00 cm
Angle: 90 IR: 1231.67 PING: 30.67 cm
Angle: 92 IR: 1213.00 PING: 32.33 cm
Angle: 94 IR: 1213.00 PING: 32.00 cm
Angle: 96 IR: 1170.33 PING: 31.67 cm
Angle: 98 IR: 1159.33 PING: 35.67 cm
Angle: 100 IR: 1150.33 PING: 48.33 cm
Angle: 102 IR: 1135.33 PING: 30.33 cm
Angle: 104 IR: 1121.00 PING: 31.67 cm
Angle: 106 IR: 997.67 PING: 30.67 cm
Angle: 108 IR: 958.33 PING: 41.67 cm
Angle: 110 IR: 937.67 PING: 61.67 cm
Angle: 112 IR: 897.33 PING: 55.33 cm
Angle: 114 IR: 919.00 PING: 19.00 cm
Angle: 116 IR: 897.67 PING: 19.00 cm
